PAcode,current_SR,future_SR,SR_dis,Latitude,Year,Area,Area_1,HP,HP_1,range,range_1,altitude,altitude_1,forest_current,forest_future,forest_dis
673,32,19,-13,48.62,1998,125564,11.74,4.2,1.44,482,6.18,895.345,6.8,0.06,0,-0.06
202,15,11,-4,47.73,2009,78864,11.28,14.37,2.67,659,6.49,342.76,5.84,0.71,0.37,-0.34
163,2,1,-1,47.25,2008,26336,10.18,16.34,2.79,35,3.56,59.92,4.09,0,0,0
189,6,4,-2,46.8,2004,72604,11.19,8.01,2.08,712,6.57,126.27,4.84,0.39,0.1,-0.29
207,2,1,-1,47.88,2007,61385,11.02,17.78,2.88,93,4.53,210.01,5.35,0,0,0
168,5,1,-4,47.33,2007,55490,10.92,20.14,3,228,5.43,155.21,5.04,0.07,0,-0.07
164,3,1,-2,47.82,2006,55423,10.92,18.88,2.94,27,3.3,165.14,5.11,0.02,0,-0.02
158,1,0,-1,47.6,2011,19460,9.88,19.32,2.96,101,4.62,262.79,5.57,0,0,0
174,4,2,-2,47.02,2004,26200,10.17,11.78,2.47,40,3.69,70.58,4.26,0,0,0
192,3,0,-3,47.25,2007,50025,10.82,19.36,2.96,101,4.62,202.315,5.31,0,0,0
806,17,13,-4,47.18,1980,12133,9.4,9.16,2.21,721,6.58,439.74,6.09,0.98,0.78,-0.2
809,10,3,-7,46.6,1990,23000,10.04,7.96,2.07,679,6.52,341.19,5.83,0.75,0.41,-0.34
364,6,7,1,46.28,1980,270000,12.51,7.39,2,492,6.2,109.195,4.69,0.06,0,-0.06
1010,21,13,-8,47.13,1987,210000,12.25,12.86,2.55,15,2.71,142.01,4.96,0.02,0,-0.02
188,4,0,-4,46.88,2008,21229,9.96,14.18,2.65,50,3.91,178.26,5.18,0.01,0,-0.01
159,5,4,-1,46.32,2004,19244,9.86,12.74,2.54,292,5.68,137.33,4.92,0.03,0,-0.03
694,6,6,0,46.08,2005,31516,10.36,6.29,1.84,424,6.05,243.82,5.5,0.45,0.19,-0.26
495,3,3,0,44.88,2000,31400,10.35,10.38,2.34,1128,7.03,1302.52,7.17,0,0,0
496,5,8,3,44.85,2000,267100,12.5,5.33,1.67,531,6.27,215.22,5.37,0,0,0
264,26,16,-10,47.18,1997,38567,10.56,8.23,2.11,536,6.28,1184.28,7.08,0.07,0.07,0
1081,3,5,2,44.72,1983,54700,10.91,6.78,1.91,331,5.8,303.62,5.72,0,0,0
820,6,4,-2,44.1,1983,35000,10.46,13.84,2.63,430,6.06,673.05,6.51,0,0,0
811,16,13,-3,44.9,1982,1733000,14.37,3.17,1.15,1080,6.98,701.08,6.55,0,0,0
754,26,11,-15,46.68,2003,75700,11.23,12.18,2.5,617,6.42,672.05,6.51,0.08,0.01,-0.07
812,5,5,0,45.26,1986,222488,12.31,11.21,2.42,53,3.97,68.375,4.23,0.01,0.01,0
1186,26,20,-6,46.34,2001,58515,10.98,12.99,2.56,445,6.1,403.51,6,0,0,0
379,15,8,-7,46.31,1998,94800,11.46,10.15,2.32,108,4.68,157.185,5.06,0,0,0
208,2,2,0,46.07,2003,36700,10.51,19.07,2.95,53,3.97,147.2,4.99,0,0,0
810,10,10,0,45.9,1981,144000,11.88,11.94,2.48,37,3.61,131.94,4.88,0,0,0
1145,10,6,-4,45.08,1989,26570,10.19,7.61,2.03,605,6.41,319.91,5.77,0.5,0.22,-0.28
1137,20,14,-6,45.8,2004,612650,13.33,6.31,1.84,398,5.99,930.18,6.84,0,0,0
209,4,3,-1,45.52,2008,57870,10.97,14.97,2.71,45,3.81,129.45,4.86,0,0,0
190,3,1,-2,45.37,2009,17179,9.75,22.07,3.09,26,3.26,173.02,5.15,0,0,0
