Species,Name,current,RCP2.6,RCP2.6_CSH,Type_1,RCP6.0,RCP6.0_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp233,Adinandra bockiana var. acutifolia,1780,2284,0.28,LR,2341,0.32,LR,1560,-0.12,LR
sp234,Adinandra formosana,79,85,0.08,LR,80,0.01,LR,79,0,LR
sp235,Adinandra glischroloma,1493,1660,0.11,LR,1579,0.06,LR,1249,-0.16,LR
sp236,Adinandra glischroloma var. jubata,42,24,-0.43,VU,29,-0.31,VU,3,-0.93,CE
sp237,Adinandra glischroloma var. macrosepala,1293,1875,0.45,LR,1793,0.39,LR,1098,-0.15,LR
sp238,Adinandra hainanensis,292,153,-0.48,VU,116,-0.6,EN,403,0.38,LR
sp239,Adinandra hirta,1440,2392,0.66,LR,2466,0.71,LR,1459,0.01,LR
sp240,Adinandra lancipetala,182,33,-0.82,CE,31,-0.83,CE,89,-0.51,EN
sp241,Adinandra megaphylla,230,5,-0.98,CE,0,-1,EX,381,0.66,LR
sp242,Adinandra millettii,2667,2898,0.09,LR,2799,0.05,LR,2542,-0.05,LR
sp243,Adinandra nigroglandulosa,52,0,-1,EX,0,-1,EX,80,0.54,LR
sp244,Adinandra nitida,1155,193,-0.83,CE,131,-0.89,CE,328,-0.72,EN
sp245,Aegle marmelos,120,389,2.24,LR,355,1.96,LR,250,1.08,LR
sp246,Aeschynanthus acuminatissimus,44,5,-0.89,CE,0,-1,EX,35,-0.2,LR
sp247,Aeschynanthus acuminatus,1982,3061,0.54,LR,3256,0.64,LR,3502,0.77,LR
sp248,Aeschynanthus angustissimus,115,130,0.13,LR,134,0.17,LR,80,-0.3,VU
sp249,Aeschynanthus austroyunnanensis,603,1041,0.73,LR,1094,0.81,LR,1068,0.77,LR
sp250,Aeschynanthus austroyunnanensis var. guangxiensis,150,14,-0.91,CE,21,-0.86,CE,382,1.55,LR
sp251,Aeschynanthus bracteatus,1255,2418,0.93,LR,2453,0.95,LR,1887,0.5,LR
sp252,Aeschynanthus buxifolius,544,511,-0.06,LR,285,-0.48,VU,470,-0.14,LR
sp253,Aeschynanthus dolichanthus,104,130,0.25,LR,103,-0.01,LR,6,-0.94,CE
sp254,Aeschynanthus hookeri,461,620,0.34,LR,527,0.14,LR,267,-0.42,VU
sp255,Aeschynanthus humilis,49,35,-0.29,LR,29,-0.41,VU,74,0.51,LR
sp256,Aeschynanthus lasiocalyx,88,52,-0.41,VU,27,-0.69,EN,3,-0.97,CE
sp257,Aeschynanthus linearifolius,576,531,-0.08,LR,489,-0.15,LR,150,-0.74,EN
sp258,Aeschynanthus lineatus,387,710,0.83,LR,659,0.7,LR,557,0.44,LR
sp259,Aeschynanthus longicaulis,227,468,1.06,LR,440,0.94,LR,316,0.39,LR
sp260,Aeschynanthus maculatus,243,131,-0.46,VU,73,-0.7,EN,59,-0.76,EN
sp261,Aeschynanthus medogensis,122,102,-0.16,LR,72,-0.41,VU,0,-1,EX
sp262,Aeschynanthus mengxingensis,54,138,1.56,LR,153,1.83,LR,95,0.76,LR
sp263,Aeschynanthus mimetes,599,1178,0.97,LR,1127,0.88,LR,585,-0.02,LR
sp264,Aeschynanthus moningeriae,40,6,-0.85,CE,7,-0.83,CE,23,-0.43,VU
sp265,Aeschynanthus planipetiolatus,42,122,1.9,LR,148,2.52,LR,3,-0.93,CE
sp266,Aeschynanthus stenosepalus,300,986,2.29,LR,1052,2.51,LR,534,0.78,LR
sp267,Aeschynanthus superbus,728,1751,1.41,LR,1648,1.26,LR,1268,0.74,LR
sp268,Aeschynanthus tengchungensis,252,581,1.31,LR,532,1.11,LR,433,0.72,LR
sp269,Aeschynanthus tubulosus,39,149,2.82,LR,112,1.87,LR,55,0.41,LR
sp270,Aeschynanthus wardii,109,32,-0.71,EN,13,-0.88,CE,0,-1,EX
sp271,Aesculus assamica,873,942,0.08,LR,925,0.06,LR,989,0.13,LR
sp272,Aesculus chinensis,1681,2532,0.51,LR,2213,0.32,LR,1883,0.12,LR
sp273,Aesculus chinensis var. wilsonii,1815,1384,-0.24,LR,1032,-0.43,VU,915,-0.5,EN
sp274,Afgekia filipes,538,694,0.29,LR,718,0.33,LR,691,0.28,LR
sp275,Aganope latifolia,112,37,-0.67,EN,36,-0.68,EN,287,1.56,LR
sp276,Aganope thyrsiflora,426,541,0.27,LR,644,0.51,LR,913,1.14,LR
sp277,Aganosma cymosa,400,759,0.9,LR,679,0.7,LR,516,0.29,LR
sp278,Aganosma marginata,68,32,-0.53,EN,29,-0.57,EN,149,1.19,LR
sp279,Aganosma schlechteriana,1265,1637,0.29,LR,1756,0.39,LR,1845,0.46,LR
sp280,Aganosma siamensis,855,928,0.09,LR,830,-0.03,LR,1201,0.4,LR
sp281,Agapetes angulata,134,465,2.47,LR,503,2.75,LR,328,1.45,LR
sp282,Agapetes anonyma,161,261,0.62,LR,266,0.65,LR,126,-0.22,LR
sp283,Agapetes burmanica,292,1348,3.62,LR,1386,3.75,LR,736,1.52,LR
sp284,Agapetes buxifolia,50,127,1.54,LR,130,1.6,LR,112,1.24,LR
sp285,Agapetes camelliifolia,123,74,-0.4,VU,10,-0.92,CE,1,-0.99,CE
sp286,Agapetes ciliata,146,460,2.15,LR,489,2.35,LR,373,1.55,LR
sp287,Agapetes discolor,137,226,0.65,LR,222,0.62,LR,98,-0.28,LR
sp288,Agapetes epacridea,127,84,-0.34,VU,55,-0.57,EN,15,-0.88,CE
sp289,Agapetes flava,155,252,0.63,LR,246,0.59,LR,124,-0.2,LR
sp290,Agapetes forrestii,439,1411,2.21,LR,1533,2.49,LR,886,1.02,LR
sp291,Agapetes griffithii,49,0,-1,EX,0,-1,EX,0,-1,EX
sp292,Agapetes hyalocheilos,61,178,1.92,LR,192,2.15,LR,122,1,LR
